grid_size,average_time_ns
9, 569190.0
11, 943100.0
13, 1414410.0
15, 2022140.0
17, 2743680.0
19, 3554760.0
21, 4593730.0
23, 5885790.0
25, 6879630.0
27, 9264470.0
29, 10216650.0
31, 11788310.0
33, 14889120.0
35, 17629690.0
37, 20754110.0
39, 23129650.0
41, 27491350.0
43, 32512880.0
45, 35135790.0
47, 37231730.0
49, 48057410.0
51, 52380290.0
53, 57491450.0
55, 63996860.0
57, 68551620.0
59, 85520190.0
61, 97752430.0
63, 93370230.0
65, 109594530.0
67, 129450460.0
69, 142339410.0
71, 151389510.0
73, 160770110.0
75, 174271080.0
77, 194174190.0
79, 206815970.0
81, 214119680.0
83, 254083020.0
85, 283450810.0
87, 313106050.0
89, 330997760.0
91, 396726070.0
93, 365892700.0
95, 408002240.0
97, 404089510.0
99, 477801770.0
