grid_size,average_time_ns
9, 1191800.0
13, 3337200.0
17, 5964200.0
21, 9849600.0
25, 14998000.0
29, 23477000.0
33, 35073200.0
37, 51281000.0
41, 73678600.0
45, 108340000.0
49, 149186600.0
53, 198075200.0
