grid_size,average_time_ns
9, 589820.0
11, 1052500.0
13, 1474500.0
15, 1953220.0
17, 2769120.0
19, 3762940.0
21, 4696700.0
23, 5679640.0
25, 6913320.0
27, 8563300.0
29, 10128180.0
31, 12860320.0
33, 13499980.0
35, 15726540.0
37, 20672460.0
39, 25082540.0
41, 27660740.0
43, 31497600.0
45, 37831500.0
47, 39052580.0
49, 40685360.0
51, 54247760.0
53, 61525620.0
55, 63922480.0
57, 75288340.0
59, 82487740.0
61, 89839620.0
63, 104268940.0
65, 118337580.0
67, 123491500.0
69, 133205380.0
